year2,sic1,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,d_flag
1991,52,942127,1398030,19402191,19518534,171731,12.3,164148,11.8,3315792,1624647,1691145,8.3,17,3548479,1311330,2237149,6.7,18.2,-232687,-1.2,34,100495,103376,716997,0
1991,60,353354,525398,6866475,6864336,82964,16.3,53041,10.4,1457482,809785,647697,11.8,21.2,1453204,478248,974956,7,21.2,4278,0,42.4,29716,29967,233013,0
1991,70,1709792,1946732,29202525,28956430,233172,12.2,176678,9.2,4824946,1795259,3029687,6.2,16.7,4332756,1474651,2858105,5.1,15,492190,1.7,30,116297,117304,861106,0
1992,07,74385,75685,576315,568792,11224,15.1,8140,10.9,147975,48696,99279,8.6,26,132928,57373,75555,10.1,23.4,15047,2.6,46.8,5483,5490,24023,0
1992,10,20395,25601,598428,621839,2693,10.3,3617,13.8,96776,36547,60229,5.9,15.6,143597,50205,93392,8.1,23.1,-46821,-7.5,31.2,2289,2302,18910,0
1992,15,487232,493272,4453954,4508400,75319,15.2,71890,14.5,1095607,323166,772441,7.2,24.3,1204498,349665,854833,7.8,26.7,-108891,-2.4,48.6,50993,51022,248674,0
1992,20,294846,353481,18039154,18155155,32212,9.1,34291,9.6,2007111,525847,1481264,2.9,11.1,2239114,672938,1566176,3.7,12.3,-232003,-1.2,22.2,24183,24345,281984,0
1992,40,160601,233732,5494976,5529383,35902,15.6,26703,11.6,883108,346609,536499,6.3,16,951922,294991,656931,5.3,17.2,-68814,-1.2,32,16347,16482,117048,0
1992,50,352610,464756,6148160,6184074,49042,10.5,47752,10.3,1041768,346101,695667,5.6,16.8,1113596,407756,705840,6.6,18,-71828,-1.2,33.6,27581,28613,167485,0
1992,52,935256,1394172,19336925,19363936,175661,12.6,176624,12.6,3391794,1591519,1800275,8.2,17.5,3445816,1347679,2098137,7,17.8,-54022,-0.3,35,106963,110826,696627,0
1992,60,355110,538619,6773908,6794596,68857,12.9,52521,9.9,1296722,506089,790633,7.4,19.1,1338098,445026,893072,6.5,19.7,-41376,-0.6,38.2,28500,29289,178740,0
1992,70,1734745,1991620,30263358,29722695,242488,12.3,191208,9.7,5525606,2011909,3513697,6.8,18.6,4444282,1619612,2824670,5.4,15,1081324,3.6,30,128495,129991,952687,0
1993,07,76292,77552,591861,582041,10466,13.7,8109,10.6,152708,45003,107705,7.7,26.2,133068,42869,90199,7.4,22.9,19640,3.3,45.8,5514,5516,26341,0
1993,10,19782,24921,551041,574722,2618,10.4,3216,12.7,89544,31542,58002,5.5,15.6,136908,50834,86074,8.8,23.8,-47364,-8.2,31.2,2074,2081,16780,0
1993,15,496337,502167,4485548,4464218,78230,15.7,66106,13.3,1141524,329184,812340,7.4,25.6,1098865,325783,773082,7.3,24.6,42659,1,49.2,48228,48247,239619,0
